,Symbol
0,MMM
1,ABT
2,ABBV
3,ABMD
4,ACN
5,ATVI
6,ADBE
7,AMD
8,AAP
9,AES
10,AFL
11,A
12,APD
13,AKAM
14,ALK
15,ALB
16,ARE
17,ALXN
18,ALGN
19,ALLE
20,AGN
21,ADS
22,LNT
23,ALL
24,GOOGL
25,GOOG
26,MO
27,AMZN
28,AMCR
29,AEE
30,AAL
31,AEP
32,AXP
33,AIG
34,AMT
35,AWK
36,AMP
37,ABC
38,AME
39,AMGN
40,APH
41,ADI
42,ANSS
43,ANTM
44,AON
45,AOS
46,APA
47,AIV
48,AAPL
49,AMAT
50,APTV
51,ADM
52,ANET
53,AJG
54,AIZ
55,T
56,ATO
57,ADSK
58,ADP
59,AZO
60,AVB
61,AVY
62,BKR
63,BLL
64,BAC
65,BK
66,BAX
67,BDX
68,BRK.B
69,BBY
70,BIIB
71,BLK
72,BA
73,BKNG
74,BWA
75,BXP
76,BSX
77,BMY
78,AVGO
79,BR
80,BF.B
81,CHRW
82,COG
83,CDNS
84,CPB
85,COF
86,CPRI
87,CAH
88,KMX
89,CCL
90,CARR
91,CAT
92,CBOE
93,CBRE
94,CDW
95,CE
96,CNC
97,CNP
98,CTL
99,CERN
100,CF
101,SCHW
102,CHTR
103,CVX
104,CMG
105,CB
106,CHD
107,CI
108,CINF
109,CTAS
110,CSCO
111,C
112,CFG
113,CTXS
114,CLX
115,CME
116,CMS
117,KO
118,CTSH
119,CL
120,CMCSA
121,CMA
122,CAG
123,CXO
124,COP
125,ED
126,STZ
127,COO
128,CPRT
129,GLW
130,CTVA
131,COST
132,COTY
133,CCI
134,CSX
135,CMI
136,CVS
137,DHI
138,DHR
139,DRI
140,DVA
141,DE
142,DAL
143,XRAY
144,DVN
145,FANG
146,DLR
147,DFS
148,DISCA
149,DISCK
150,DISH
151,DG
152,DLTR
153,D
154,DOV
155,DOW
156,DTE
157,DUK
158,DRE
159,DD
160,DXC
161,ETFC
162,EMN
163,ETN
164,EBAY
165,ECL
166,EIX
167,EW
168,EA
169,EMR
170,ETR
171,EOG
172,EFX
173,EQIX
174,EQR
175,ESS
176,EL
177,EVRG
178,ES
179,RE
180,EXC
181,EXPE
182,EXPD
183,EXR
184,XOM
185,FFIV
186,FB
187,FAST
188,FRT
189,FDX
190,FIS
191,FITB
192,FE
193,FRC
194,FISV
195,FLT
196,FLIR
197,FLS
198,FMC
199,F
200,FTNT
201,FTV
202,FBHS
203,FOXA
204,FOX
205,BEN
206,FCX
207,GPS
208,GRMN
209,IT
210,GD
211,GE
212,GIS
213,GM
214,GPC
215,GILD
216,GL
217,GPN
218,GS
219,GWW
220,HRB
221,HAL
222,HBI
223,HOG
224,HIG
225,HAS
226,HCA
227,PEAK
228,HP
229,HSIC
230,HSY
231,HES
232,HPE
233,HLT
234,HFC
235,HOLX
236,HD
237,HON
238,HRL
239,HST
240,HWM
241,HPQ
242,HUM
243,HBAN
244,HII
245,IEX
246,IDXX
247,INFO
248,ITW
249,ILMN
250,INCY
251,IR
252,INTC
253,ICE
254,IBM
255,IP
256,IPG
257,IFF
258,INTU
259,ISRG
260,IVZ
261,IPGP
262,IQV
263,IRM
264,JKHY
265,J
266,JBHT
267,SJM
268,JNJ
269,JCI
270,JPM
271,JNPR
272,KSU
273,K
274,KEY
275,KEYS
276,KMB
277,KIM
278,KMI
279,KLAC
280,KSS
281,KHC
282,KR
283,LB
284,LHX
285,LH
286,LRCX
287,LW
288,LVS
289,LEG
290,LDOS
291,LEN
292,LLY
293,LNC
294,LIN
295,LYV
296,LKQ
297,LMT
298,L
299,LOW
300,LYB
301,MTB
302,MRO
303,MPC
304,MKTX
305,MAR
306,MMC
307,MLM
308,MAS
309,MA
310,MKC
311,MXIM
312,MCD
313,MCK
314,MDT
315,MRK
316,MET
317,MTD
318,MGM
319,MCHP
320,MU
321,MSFT
322,MAA
323,MHK
324,TAP
325,MDLZ
326,MNST
327,MCO
328,MS
329,MOS
330,MSI
331,MSCI
332,MYL
333,NDAQ
334,NOV
335,NTAP
336,NFLX
